Type,Season,Sun Requirements,Average Days to Maturity 
Arugula,Spring,Partial ,45
Beans,Summer,Full Sun,65
Beets,Spring,Partial ,65
Broccoli,Summer,Partial ,75
Carrots,Spring,Partial ,75
Cabbage,Spring,Full Sun,80
Corn,Summer,Full Sun,105
Cucumber,Summer,Full Sun,60
Garlic,Winter,Full Sun,90
Kale,Summer,Partial ,70
Lettuce,Spring,Partial ,60
Pea,Spring,Full Sun,75
Onion,Spring,Full Sun,90
Peppers,Summer,Full Sun,80
Pumpkin,Summer,Full Sun,90
Radish,Spring,Partial ,50
Rosemary,Summer,Full Sun,90
Squash,Summer,Full Sun,60
Tomatoes,Summer,Full Sun,90
Turnip,Fall,Partial ,50
